County_State	County_Name	Non-Commercial -Civil Public Use Airports and Seaplane base	Non-Commercial -Other Aerodromes	Number of Bridges	Number of business establishments	Number of resident workers who commute to work in other countie	Number of resident workers who commute within county	Number of resident workers who work at home	Number of resident workers	Number of residents	Number of workers from other counties who commute to work in th	Pct of Medium to Fair Condition Bridges	Pct of Poor Condition Bridges	Percent of resident workers who commute by transit	Primary and Commercial Airports	Route miles of freight railroad	Route miles of passenger railroad and rail transit	State_Name	Total Docks	Total Marinas
Lawrence County, Alabama	Lawrence County	1	2	214	404	7834	4495	215	12430	33435	7925	0.96728972	0.03271028	0.002815768	0	27.8	0	Alabama	0	0
Lee County, Alabama	Lee County	1	3	214	2796	8954	47430	2575	70200	153945	22766	0.953271028	0.046728972	0.008547009	0	60.5	0	Alabama		
Limestone County, Alabama	Limestone County	1	2	311	1379	19115	17735	1040	37985	90255	20255	0.971061093	0.028938907	0.000789785	0	42.1	0	Alabama	3	0
Lowndes County, Alabama	Lowndes County	1	0	157	108	2283	1090	80	3390	10565	2301	0.987261146	0.012738854	0.004424779	0	46.7	0	Alabama	0	0
Macon County, Alabama	Macon County	1	3	177	198	3477	3755	115	7375	19685	3591	0.870056497	0.129943503	0.009491525	0	26.4	0	Alabama		
Madison County, Alabama	Madison County	1	10	690	8454	8048	155125	5120	165460	349975	10254	0.97826087	0.02173913	0.001934002	1	52.5	4.8	Alabama		
Marengo County, Alabama	Marengo County	1	2	203	465	2061	4355	185	6555	20065	2205	0.9408867	0.0591133	0.004576659	0	110.6	0	Alabama	0	0
Marion County, Alabama	Marion County	1	1	255	570	3334	7580	300	11520	30240	3945	0.980392157	0.019607843	0.000347222	0	21.4	0	Alabama		
Marshall County, Alabama	Marshall County	2	2	170	1829	9169	27945	1030	37550	94535	9653	0.911764706	0.088235294	0.003062583	0	16.3	0	Alabama	2	0
Mobile County, Alabama	Mobile County	3	12	592	8813	6640	153190	6625	169770	414290	16427	0.971283784	0.028716216	0.004830064	1	151.5	29.9	Alabama	54	0
Monroe County, Alabama	Monroe County	1	1	145	390	1419	4935	120	6425	21975	1494	0.889655172	0.110344828	0.002957198	0	80.8	0	Alabama		
Montgomery County, Alabama	Montgomery County	0	7	584	5585	7919	91330	3105	100030	227390	8699	0.98630137	0.01369863	0.007097871	1	99.6	0	Alabama	1	0
Morgan County, Alabama	Morgan County	1	4	263	2620	15505	33650	815	49680	119555	16004	0.984790875	0.015209125	0.002314815	0	40.6	0	Alabama	7	0
Perry County, Alabama	Perry County	1	0	163	121	1054	1405	25	2475	9855	1069	0.938650307	0.061349693	0	0	7.7	0	Alabama		
Pickens County, Alabama	Pickens County	2	1	239	256	2526	3320	315	6730	20040	3409	0.916317992	0.083682008	0.004457652	0	58	0	Alabama		
Pike County, Alabama	Pike County	1	1	202	658	1875	12040	530	14000	33275	1970	0.965346535	0.034653465	0.006071429	0	57.5	0	Alabama		
Randolph County, Alabama	Randolph County	1	4	166	338	1431	4745	400	8265	22615	3512	0.93373494	0.06626506	0.001209921	0	30.8	0	Alabama		
Russell County, Alabama	Russell County	0	3	205	790	2049	6850	700	24310	58635	17443	0.970731707	0.029268293	0.003290827	0	31.7	0	Alabama	0	0
Shelby County, Alabama	Shelby County	1	9	343	5238	48873	50890	4820	101260	205950	50352	0.982507289	0.017492711	0.00182698	0	160.9	5	Alabama		
St. Clair County, Alabama	St. Clair County	1	6	182	1313	22980	14080	1325	37615	86575	23548	0.983516484	0.016483516	0.00186096	0	86.5	21	Alabama		
Sumter County, Alabama	Sumter County	0	1	245	197	918	2725	85	4200	13285	1476	0.918367347	0.081632653	0.004761905	0	27.2	27.2	Alabama		
Talladega County, Alabama	Talladega County	3	2	243	1256	10534	18965	560	30025	81055	11055	0.95473251	0.04526749	0.006161532	0	143.7	10.7	Alabama		
Tallapoosa County, Alabama	Tallapoosa County	1	2	152	771	4592	10020	470	14905	40960	4889	0.881578947	0.118421053	0.001341832	0	33.1	0	Alabama		
Tuscaloosa County, Alabama	Tuscaloosa County	1	4	480	4111	8125	79995	2680	88780	202470	8734	0.972916667	0.027083333	0.003829691	0	107.1	41.7	Alabama	2	0
Walker County, Alabama	Walker County	1	2	273	1232	7197	15780	305	23350	65595	7546	0.937728938	0.062271062	0.003211991	0	112	0	Alabama	0	0
Washington County, Alabama	Washington County	1	2	179	208	2398	2505	70	5535	16910	3019	0.877094972	0.122905028	0	0	28.5	0	Alabama	1	0
Wilcox County, Alabama	Wilcox County	1	0	168	185	1006	1940	100	2960	11120	1024	0.839285714	0.160714286	0.001351351	0	53.2	0	Alabama	0	0
Winston County, Alabama	Winston County	3	1	79	447	3433	4930	230	8470	24015	3539	0.936708861	0.063291139	0	0	22.8	0	Alabama		
Aleutians East Borough, Alaska	Aleutians East Borough	10	1	2	58	8	2455	60	2460	3300	8	1	0	0.001626016	2			Alaska	22	0
Aleutians West Census Area, Alaska	Aleutians West Census Area	2	4		113	16	4085	85	4110	5715	35			0.000973236	3			Alaska	25	0
Anchorage Municipality, Alaska	Anchorage Municipality	7	17	129	8759	5830	151495	6075	158110	299320	6493	0.937984496	0.062015504	0.01792423	1	108.6	100.7	Alaska	5	0
Bethel Census Area, Alaska	Bethel Census Area	31	7	6	251	40	5755	255	5790	17885	40	0.833333333	0.166666667	0.005008636	6			Alaska	3	0
Bristol Bay Borough, Alaska	Bristol Bay Borough	2	1	3	85	31	510	20	540	940	31	0.333333333	0.666666667	0.007407407	1			Alaska	5	0
Denali Borough, Alaska	Denali Borough	9	5	23	111	79	1235	300	1320	2125	79	1	0	0.007575758	0	83.1	80.9	Alaska		
Dillingham Census Area, Alaska	Dillingham Census Area	13	6	11	98	12	1875	145	1890	4980	12	0.727272727	0.272727273	0.010582011	1			Alaska	3	0
Fairbanks North Star Borough, Alaska	Fairbanks North Star Borough	1	20	98	2492	1359	50010	1590	51580	100150	1541	0.897959184	0.102040816	0.010663048	1	77.4	36.5	Alaska	1	0
Haines Borough, Alaska	Haines Borough	2	5	13	140	87	1185	110	1290	2530	101	0.846153846	0.153846154	0.015503876	1			Alaska	8	0
Hoonah-Angoon Census Area, Alaska	Hoonah-Angoon Census Area	7	1		84	79	930	120	1015	2105	79			0.019704433	2			Alaska		
Juneau City and Borough, Alaska	Juneau City and Borough	3	6	53	1159	178	17380	540	17590	32525	206	0.943396226	0.056603774	0.04002274	1			Alaska	20	0
Kenai Peninsula Borough, Alaska	Kenai Peninsula Borough	16	47	86	2155	1695	22920	1905	24775	57635	1853	0.860465116	0.139534884	0.009687185	3	52.9	51.7	Alaska	18	0
Ketchikan Gateway Borough, Alaska	Ketchikan Gateway Borough	3	6	92	608	66	6675	195	6775	13715	78	0.826086957	0.173913043	0.031734317	1			Alaska	23	0
Kodiak Island Borough, Alaska	Kodiak Island Borough	11	8	24	477	49	7555	405	7625	13920	49	0.958333333	0.041666667	0.007213115	1			Alaska	21	0
Kusilvak Census Area, Alaska	Kusilvak Census Area	8	2		79	24	2095	100	2110	7995	24			0	4			Alaska		
Lake and Peninsula Borough, Alaska	Lake and Peninsula Borough	18	7	6	51	32	570	25	590	1410	32	1	0	0.006779661	1			Alaska		
Matanuska-Susitna Borough, Alaska	Matanuska-Susitna Borough	27	163	115	2297	14543	26140	2500	40830	98680	14666	0.939130435	0.060869565	0.010751898	0	201.3	193.8	Alaska	0	0
Nome Census Area, Alaska	Nome Census Area	13	8	30	172	16	3445	150	3455	9880	20	0.933333333	0.066666667	0.002315485	8			Alaska	2	0
North Slope Borough, Alaska	North Slope Borough	8	20	48	163	74	5195	695	5280	9680	89	1	0	0.019886364	5			Alaska		
Northwest Arctic Borough, Alaska	Northwest Arctic Borough	8	5		81	42	2440	125	2470	7725	42			0.001619433	5			Alaska	1	0
Petersburg Borough, Alaska	Petersburg Borough	1	1		157	119	1455	50	1585	3195	123			0.011356467	1			Alaska		
Prince of Wales-Hyder Census Area, Alaska	Prince of Wales-Hyder Census Area	17	10		165	80	2515	130	2610	6375	100			0.01302682	0			Alaska		
Sitka City and Borough, Alaska	Sitka City and Borough	4	2	35	378	55	4595	190	4680	8920	82	0.857142857	0.142857143	0.015811966	1			Alaska	11	0
Skagway Municipality, Alaska	Skagway Municipality	0	0		120	26	645	40	670	1015	26			0.011940299	1	18.4	18.4	Alaska		
Southeast Fairbanks Census Area, Alaska	Southeast Fairbanks Census Area	10	12	71	177	113	2815	350	2925	6970	113	0.901408451	0.098591549	0.006837607	0			Alaska		
Valdez-Cordova Census Area, Alaska	Valdez-Cordova Census Area	21	17	108	504	79	4430	155	4505	9520	87	0.916666667	0.083333333	0.002219756	2	3.1	3.1	Alaska	26	0
Wrangell City and Borough, Alaska	Wrangell City and Borough	2	0		98	43	990	90	1035	2400	43			0.009661836	1			Alaska		
Yakutat City and Borough, Alaska	Yakutat City and Borough	9	0	3	28	8	340	15	350	645	12	1	0	0.011428571	1			Alaska	4	0
Yukon-Koyukuk Census Area, Alaska	Yukon-Koyukuk Census Area	48	13	73	101	148	1880	150	2025	5600	148	0.890410959	0.109589041	0.001975309	3	38.3	38.3	Alaska	1	0
Apache County, Arizona	Apache County	4	1	256	458	1924	14060	1110	18055	72345	4011	0.96875	0.03125	0.011631127	0	124	53.7	Arizona		
Cochise County, Arizona	Cochise County	7	22	501	2178	1839	43905	2360	46330	128175	2294	0.974051896	0.025948104	0.005503993	0	139.3	101.6	Arizona		
Coconino County, Arizona	Coconino County	4	11	403	3746	3424	58750	3270	63960	138065	5054	0.975186104	0.024813896	0.016557223	1	285.6	196.2	Arizona		
Gila County, Arizona	Gila County	4	2	260	1019	2385	15085	950	17505	53180	2429	0.965384615	0.034615385	0.002285061	0	41.3	0	Arizona		
Graham County, Arizona	Graham County	1	7	168	510	2240	9275	355	11565	37530	2278	0.952380952	0.047619048	0.009943796	0	90.2	0	Arizona		
Greenlee County, Arizona	Greenlee County	1	1	89	83	206	3300	70	3545	9225	248	0.943820225	0.056179775	0	0	41.2	0	Arizona		
La Paz County, Arizona	La Paz County	1	7	302	337	185	5495	510	6265	20305	769	0.947019868	0.052980132	0.003192338	0	75.1	0	Arizona		
Maricopa County, Arizona	Maricopa County	10	96	2702	94566	20545	1803760	112860	1844235	4088550	39057	0.998519615	0.001480385	0.022589312	1	296.2	68.9	Arizona		
Mohave County, Arizona	Mohave County	7	19	623	3784	1008	52920	1900	65395	203630	12455	0.983948636	0.016051364	0.006422509	0	122.8	119.5	Arizona		
Navajo County, Arizona	Navajo County	8	5	267	1770	2334	28685	2105	31630	108210	2928	0.966292135	0.033707865	0.010749289	1	118.5	54.7	Arizona		
Pima County, Arizona	Pima County	4	15	1085	20300	9440	409820	19865	423600	1003340	13293	0.974193548	0.025806452	0.028234183	1	121.6	86.2	Arizona		
Pinal County, Arizona	Pinal County	8	15	704	3713	67085	69570	7635	138405	397605	68661	0.984375	0.015625	0.002413208	0	200.7	69.3	Arizona		
Santa Cruz County, Arizona	Santa Cruz County	1	0	133	1153	2125	14795	965	17220	46545	2183	0.984962406	0.015037594	0.003193961	0	30.2	0	Arizona		
Yavapai County, Arizona	Yavapai County	4	20	540	5985	6125	73950	5745	81005	218585	6998	0.987037037	0.012962963	0.004073823	1	213.9	48.4	Arizona		
Yuma County, Arizona	Yuma County	2	6	261	3037	485	70475	2385	74390	203290	3693	0.961685824	0.038314176	0.014383654	0	114	86	Arizona		
Arkansas County, Arkansas	Arkansas County	2	3	157	502	575	7260	210	7865	18570	594	0.98089172	0.01910828	0.002542912	0	19.7	0	Arkansas		
Ashley County, Arkansas	Ashley County	1	2	103	373	882	6550	210	7855	20990	1292	1	0	0.001909612	0	53.9	0	Arkansas		
Baxter County, Arkansas	Baxter County	1	6	82	1047	1910	12855	430	15045	40990	2198	1	0	0.004320372	0	35.2	0	Arkansas		
Benton County, Arkansas	Benton County	3	18	385	6408	15192	95710	4835	114070	245230	18335	0.927272727	0.072727273	0.001130885	1	64.4	0	Arkansas		
Boone County, Arkansas	Boone County	0	2	97	883	1259	12605	400	14915	37300	2328	0.969072165	0.030927835	0	1	30	0	Arkansas		
Bradley County, Arkansas	Bradley County	1	1	109	258	1089	2815	230	3935	11095	1108	0.990825688	0.009174312	0.003811944	0	38.2	0	Arkansas		
Calhoun County, Arkansas	Calhoun County	1	0	109	57	1334	790	55	2160	5210	1364	0.963302752	0.036697248	0.001851852	0	37.1	0	Arkansas		
Carroll County, Arkansas	Carroll County	2	8	115	709	1182	9135	435	11115	27690	1982	0.965217391	0.034782609	0.000359874	0			Arkansas		
Chicot County, Arkansas	Chicot County	2	2	90	208	579	2575	45	3660	11190	1079	0.988888889	0.011111111	0.013661202	0	48.7	0	Arkansas		
Clark County, Arkansas	Clark County	2	1	204	511	2802	7020	390	9910	22685	2899	0.965686275	0.034313725	0.004540868	0	34.9	29.6	Arkansas		
Clay County, Arkansas	Clay County	3	2	203	287	1650	3760	130	6175	15200	2421	0.935960591	0.064039409	0	0	37.6	19.4	Arkansas		
Cleburne County, Arkansas	Cleburne County	1	7	52	579	2532	6820	450	9625	25585	2783	1	0	0	0			Arkansas		
Cleveland County, Arkansas	Cleveland County			84	80	2288	815	30	3150	8420	2336	0.988095238	0.011904762	0.006349206		21.3	0	Arkansas		
Columbia County, Arkansas	Columbia County	1	1	132	540	1240	8045	215	9930	24170	1885	0.984848485	0.015151515	0.00040282	0	47.1	0	Arkansas		
Conway County, Arkansas	Conway County	2	4	122	401	3336	4755	220	8220	21060	3460	0.991803279	0.008196721	0.007907543	0	22	0	Arkansas	1	0
Craighead County, Arkansas	Craighead County	0	5	436	2528	4623	40740	1615	46200	102885	5450	0.95412844	0.04587156	0.003138528	1	70.9	0	Arkansas		
Crawford County, Arkansas	Crawford County	0	1	248	1072	12585	12030	500	25210	61925	13183	0.899193548	0.100806452	0.00198334	0	56.1	32.3	Arkansas	1	0
Crittenden County, Arkansas	Crittenden County	1	3	234	840	1112	11950	515	19915	49510	7974	0.97008547	0.02991453	0.003514938	0	88.5	0	Arkansas		
Cross County, Arkansas	Cross County	0	3	129	358	1779	4730	275	7000	17330	2267	0.937984496	0.062015504	0.001428571	0	69.8	0	Arkansas		
Dallas County, Arkansas	Dallas County	1	1	110	192	1229	1670	45	2915	7740	1243	0.936363636	0.063636364	0.001372213	0	7.3	0	Arkansas		
Desha County, Arkansas	Desha County	2	2	83	300	944	3335	55	4375	12235	1037	0.975903614	0.024096386	0.000914286	0	48.2	0	Arkansas	1	0
Drew County, Arkansas	Drew County	1	2	147	401	2014	5130	165	7280	18690	2146	0.972789116	0.027210884	0	0	40.5	0	Arkansas		
Faulkner County, Arkansas	Faulkner County	1	10	210	2577	16657	38970	1845	56370	120415	17422	0.985714286	0.014285714	0.001596594	0	19.4	0	Arkansas	0	0
Franklin County, Arkansas	Franklin County	1	3	140	285	2707	3510	350	6380	17800	2879	0.914285714	0.085714286	0.007836991	0	24.7	0	Arkansas	0	0
Fulton County, Arkansas	Fulton County	1	1	102	161	1211	2450	150	4275	12185	1814	0.950980392	0.049019608	0.004678363	0	13.9	0	Arkansas		
Garland County, Arkansas	Garland County	0	3	300	2765	4840	33615	1910	39035	97120	5407	0.98	0.02	0.004226976	1	23.3	0	Arkansas		
Grant County, Arkansas	Grant County	1	0	119	268	4383	3170	275	7620	18045	4468	1	0	0.001312336	0			Arkansas		
Greene County, Arkansas	Greene County	1	2	246	791	4277	13160	360	17835	43745	4680	0.943089431	0.056910569	0.000224278	0	32.8	9.7	Arkansas		
Hempstead County, Arkansas	Hempstead County	1	2	175	384	1754	6335	310	8480	22210	2151	0.977142857	0.022857143	0.001768868	0	80.1	21.7	Arkansas		
Hot Spring County, Arkansas	Hot Spring County	1	2	222	499	6002	7015	255	13105	33440	6105	0.932432432	0.067567568	0.005723006	0	38.5	26.3	Arkansas		
Howard County, Arkansas	Howard County	1	2	117	282	950	4185	285	5355	13485	1174	0.965811966	0.034188034	0.015873016	0	43.4	0	Arkansas		
Independence County, Arkansas	Independence County	1	2	183	782	1885	13195	435	15375	37030	2186	0.989071038	0.010928962	0	0	51.3	1	Arkansas		
Izard County, Arkansas	Izard County	3	2	98	221	1385	2975	190	4460	13460	1475	0.979591837	0.020408163	0	0	41.7	0	Arkansas		
Jackson County, Arkansas	Jackson County	1	3	136	313	1388	3930	165	5360	17495	1431	0.985294118	0.014705882	0.002798507	0	42.1	36.4	Arkansas		
Jefferson County, Arkansas	Jefferson County	1	4	347	1316	4263	22125	600	26755	72385	4608	0.959654179	0.040345821	0.005045786	0	92.4	0	Arkansas	8	0
Johnson County, Arkansas	Johnson County	1	1	158	401	1977	8095	525	10120	26025	2034	0.981012658	0.018987342	0.00444664	0	27.1	0	Arkansas		
Lafayette County, Arkansas	Lafayette County			72	106	778	1260	100	2435	7125	1177	0.958333333	0.041666667	0.004106776		40.9	0	Arkansas		
Lawrence County, Arkansas	Lawrence County	1	1	127	287	2286	3870	205	6315	16915	2454	0.937007874	0.062992126	0.002216944	0	62.4	23.1	Arkansas		
Lee County, Arkansas	Lee County	1	2	98	115	1254	1445	55	2715	9780	1268	0.93877551	0.06122449	0.001473297	0	19.4	0	Arkansas		
Lincoln County, Arkansas	Lincoln County	1	0	110	171	1493	1595	80	3140	13935	1536	0.972727273	0.027272727	0	0	13.6	0	Arkansas		
Little River County, Arkansas	Little River County	0	2	86	175	975	2295	55	4590	12615	2292	0.906976744	0.093023256	0	0	85.4	0	Arkansas		
Logan County, Arkansas	Logan County	2	1	153	380	2740	5330	445	8335	21935	2984	0.934640523	0.065359477	0.00539892	0			Arkansas		
Lonoke County, Arkansas	Lonoke County	1	11	185	1048	20049	12440	925	32760	71280	20322	0.951351351	0.048648649	0.001831502	0	13.4	13.4	Arkansas		
Madison County, Arkansas	Madison County	1	3	148	211	3279	3290	320	6620	15760	3325	0.783783784	0.216216216	0.001510574	0			Arkansas		
Marion County, Arkansas	Marion County	1	4	63	210	2188	3080	230	5335	16405	2257	0.984126984	0.015873016	0.001874414	0	23.8	0	Arkansas		
Miller County, Arkansas	Miller County	0	2	215	739	1025	7905	315	17920	43665	10008	0.995348837	0.004651163	0.002790179	1	46.6	18.8	Arkansas		
Mississippi County, Arkansas	Mississippi County	4	3	310	794	883	15250	285	16710	44200	1475	0.909677419	0.090322581	0.000598444	0	73.4	0	Arkansas	3	0
Monroe County, Arkansas	Monroe County	3	0	86	192	867	1950	100	2870	7540	910	0.953488372	0.046511628	0	0	37.7	0	Arkansas		
Montgomery County, Arkansas	Montgomery County	1	0	202	131	1458	1720	75	3265	9100	1538	0.97029703	0.02970297	0.001225115	0			Arkansas		
Nevada County, Arkansas	Nevada County	1	0	134	121	1556	1455	110	3100	8670	1636	0.940298507	0.059701493	0	0	16.5	13.8	Arkansas		
Newton County, Arkansas	Newton County	0	1	63	83	1308	1530	155	2940	7990	1410	0.952380952	0.047619048	0.006802721	0			Arkansas		
Ouachita County, Arkansas	Ouachita County	1	2	167	513	2624	7240	130	10050	24730	2811	0.982035928	0.017964072	0.006965174	0	67.8	0	Arkansas		
Perry County, Arkansas	Perry County	0	1	118	96	2654	1250	250	3930	10245	2681	0.966101695	0.033898305	0.001017812	0	36	0	Arkansas		
Phillips County, Arkansas	Phillips County	1	4	113	389	612	5260	145	6565	19930	1290	0.769911504	0.230088496	0.000609292	0	18.4	0	Arkansas	5	0
Pike County, Arkansas	Pike County	0	2	94	202	1897	2420	95	4450	11015	2033	0.946808511	0.053191489	0.006741573	0			Arkansas		
Poinsett County, Arkansas	Poinsett County	1	4	200	351	4048	4715	305	9060	24130	4336	0.87	0.13	0.000441501	0	61.1	0	Arkansas		
Polk County, Arkansas	Polk County	1	0	220	447	487	6290	285	7100	20290	795	0.881818182	0.118181818	0.005633803	0	62.2	0	Arkansas		
Pope County, Arkansas	Pope County	1	2	192	1598	4068	22550	665	26985	63105	4416	0.989583333	0.010416667	0.001852881	0	31.6	0	Arkansas	2	0
Prairie County, Arkansas	Prairie County	2	3	93	149	1589	1730	180	3325	8335	1613	0.870967742	0.129032258	0	0	4.4	0	Arkansas		
Pulaski County, Arkansas	Pulaski County	1	16	708	12245	10953	167975	5175	180390	391805	12284	0.973163842	0.026836158	0.010116969	1	136.9	29.6	Arkansas	3	0
Randolph County, Arkansas	Randolph County	1	1	150	314	2013	4350	75	6775	17585	2430	0.96	0.04	0	0	2.7	2.5	Arkansas		
Saline County, Arkansas	Saline County	1	1	218	1967	31912	22070	1505	54370	115575	32311	0.949541284	0.050458716	0.001379437	0	24.4	21.1	Arkansas		
Scott County, Arkansas	Scott County	1	0	196	151	918	3055	190	4070	10660	1001	0.954081633	0.045918367	0.002457002	0	22.6	0	Arkansas		
Searcy County, Arkansas	Searcy County	1	0	65	111	950	1930	110	2965	7940	1040	0.969230769	0.030769231	0.003372681	0			Arkansas		
Sebastian County, Arkansas	Sebastian County	0	3	328	3415	6255	44990	1050	54325	127350	9324	0.945121951	0.054878049	0.00414174	1	36.6	0	Arkansas	0	0
Sevier County, Arkansas	Sevier County	1	1	164	256	1615	4625	150	7100	17195	2476	0.914634146	0.085365854	0.001408451	0	56.1	0	Arkansas		
Sharp County, Arkansas	Sharp County	1	0	109	310	2233	3330	185	5800	17025	2453	0.963302752	0.036697248	0	0	16.8	0	Arkansas		
St. Francis County, Arkansas	St. Francis County	1	3	205	459	2094	6280	275	8885	27025	2620	0.970731707	0.029268293	0.001125492	0	60.9	0	Arkansas		
Stone County, Arkansas	Stone County	1	1	73	226	824	3340	270	4255	12505	899	1	0	0	0			Arkansas		
