County_Name,State_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%)
Denali Borough,Alaska,23,2125,1,0,0,83.1,80.9,0.769478458
Dent County,Missouri,74,15580,0.972972973,0.027027027,0,,,0.753229107
Denton County,Texas,746,754650,0.993297587,0.006702413,0,131.5,41.7,0.891372329
Denver County,Colorado,439,663305,0.972665148,0.027334852,1,53.2,19.8,0.78095535
Des Moines County,Iowa,176,40115,0.795454545,0.204545455,1,75.3,18.1,0.906330826
Deschutes County,Oregon,144,170815,0.986111111,0.013888889,1,64.6,0,0.897757095
Desha County,Arkansas,83,12235,0.975903614,0.024096386,0,48.2,0,0.796760502
DeSoto County,Mississippi,244,170890,0.967213115,0.032786885,0,46.7,11,0.731516457
DeSoto County,Florida,57,35135,0.98245614,0.01754386,0,23.9,0,0.882151679
Deuel County,Nebraska,74,1930,0.986486486,0.013513514,0,26.4,0,0.899117407
Deuel County,South Dakota,72,4310,0.75,0.25,0,,,0.857210259
Dewey County,Oklahoma,169,4860,0.976331361,0.023668639,0,2.5,0,0.629165553
Dewey County,South Dakota,25,5650,0.84,0.16,0,,,0.857210259
DeWitt County,Texas,264,20660,0.988636364,0.011363636,0,29.7,0,0.891372329
Dickens County,Texas,73,2235,0.95890411,0.04109589,0,,,0.891372329
Dickenson County,Virginia,76,15305,0.973684211,0.026315789,0,54.7,0,0.884284057
Dickey County,North Dakota,39,5160,1,0,0,61.6,0,0.933551831
Dickinson County,Michigan,35,25890,0.885714286,0.114285714,1,85.4,0,0.771767308
Dickinson County,Kansas,379,19385,0.941952507,0.058047493,0,96.6,5.7,0.883778315
Dickinson County,Iowa,88,17045,0.852272727,0.147727273,0,3,0,0.906330826
Dickson County,Tennessee,240,50925,0.945833333,0.054166667,0,32.2,0,0.945988112
Dillingham Census Area,Alaska,11,4980,0.727272727,0.272727273,1,,,0.769478458
Dillon County,South Carolina,127,31275,0.94488189,0.05511811,0,40.3,17.4,0.812866638
Dimmit County,Texas,74,10840,1,0,0,,,0.891372329
Dinwiddie County,Virginia,139,28155,0.942446043,0.057553957,0,40.2,9.8,0.884284057
District of Columbia,District of Columbia,244,659010,0.967213115,0.032786885,0,31.7,22.5,0.067584598
Divide County,North Dakota,13,2370,0.769230769,0.230769231,0,55.6,0,0.933551831
Dixie County,Florida,55,16085,0.909090909,0.090909091,0,,,0.882151679
Dixon County,Nebraska,142,5810,0.894366197,0.105633803,,18.1,0,0.899117407
Doddridge County,West Virginia,98,8365,0.775510204,0.224489796,0,,,0.694866631
Dodge County,Nebraska,324,36680,0.969135802,0.030864198,0,77.8,16.2,0.899117407
Dodge County,Minnesota,170,20360,0.958823529,0.041176471,0,19.4,0,0.850650597
Dodge County,Wisconsin,210,88405,0.923809524,0.076190476,0,127.4,17.9,0.833592818
Dodge County,Georgia,56,20995,1,0,0,42.9,0,0.967672415
Dolores County,Colorado,30,1790,1,0,0,,,0.78095535
Doña Ana County,New Mexico,260,213825,0.934615385,0.065384615,0,140.3,59.9,0.698534578
Doniphan County,Kansas,127,7795,0.913385827,0.086614173,0,0.7,0,0.883778315
Donley County,Texas,72,3505,0.958333333,0.041666667,0,37.9,0,0.891372329
Dooly County,Georgia,73,14090,0.931506849,0.068493151,0,38.9,0,0.967672415
Door County,Wisconsin,31,27670,1,0,0,,,0.833592818
Dorchester County,Maryland,46,32450,0.891304348,0.108695652,0,20.7,0,0.880315818
Dorchester County,South Carolina,202,148515,0.935643564,0.064356436,0,42.7,0,0.812866638
Dougherty County,Georgia,98,92325,0.989795918,0.010204082,1,60.2,0,0.967672415
Douglas County,Nevada,39,47425,1,0,0,,,0.873795386
Douglas County,Oregon,692,107375,0.963872832,0.036127168,0,137.8,0,0.897757095
Douglas County,Colorado,239,314240,0.962343096,0.037656904,0,74.6,0,0.78095535
Douglas County,Illinois,228,19770,0.956140351,0.043859649,0,68.8,15.9,0.807663106
Douglas County,Kansas,298,116350,1,0,0,29.5,21.3,0.883778315
Douglas County,Nebraska,509,543255,0.970530452,0.029469548,1,76.3,14.2,0.899117407
Douglas County,Minnesota,39,36860,0.948717949,0.051282051,0,32,0,0.850650597
Douglas County,Washington,42,40100,0.976190476,0.023809524,1,15.3,15.3,0.710608062
Douglas County,Wisconsin,158,43705,0.924050633,0.075949367,0,124.5,0,0.833592818
Douglas County,Missouri,74,13465,0.932432432,0.067567568,0,,,0.753229107
Douglas County,South Dakota,44,2960,0.863636364,0.136363636,0,,,0.857210259
Douglas County,Georgia,89,138285,1,0,0,17.2,17.2,0.967672415
Drew County,Arkansas,147,18690,0.972789116,0.027210884,0,40.5,0,0.796760502
Dubois County,Indiana,218,42345,0.958715596,0.041284404,0,50.4,2.7,0.92512153
Dubuque County,Iowa,331,96360,0.858006042,0.141993958,1,63.7,0,0.906330826
Duchesne County,Utah,86,20080,0.906976744,0.093023256,0,,,0.783681005
Dukes County,Massachusetts,5,17135,1,0,1,,,0.700716679
Dundy County,Nebraska,47,1825,1,0,0,41.3,41.3,0.899117407
Dunklin County,Missouri,218,31270,0.944954128,0.055045872,0,17.7,0,0.753229107
Dunn County,North Dakota,75,4285,0.973333333,0.026666667,0,,,0.933551831
Dunn County,Wisconsin,246,44350,0.926829268,0.073170732,0,52,0,0.833592818
DuPage County,Illinois,317,930515,0.933753943,0.066246057,0,134,48,0.807663106
Duplin County,North Carolina,210,59120,0.852380952,0.147619048,0,36.4,0,0.890560355
Durham County,North Carolina,298,294620,0.922818792,0.077181208,0,38.8,16.2,0.890560355
Dutchess County,New York,336,295905,0.883928571,0.116071429,0,94.7,94.7,0.746636286
Duval County,Texas,17,11510,1,0,0,45.1,0,0.891372329
Duval County,Florida,768,900890,0.98046875,0.01953125,1,165.9,24.9,0.882151679
Dyer County,Tennessee,239,37970,0.941422594,0.058577406,0,41.3,23.6,0.945988112
Eagle County,Colorado,171,52895,0.923976608,0.076023392,1,62.8,51.6,0.78095535
Early County,Georgia,85,10480,1,0,0,60.5,0,0.967672415
East Baton Rouge Parish,Louisiana,545,445335,0.805504587,0.194495413,1,73.2,0,0.743835895
East Carroll Parish,Louisiana,59,7420,0.728813559,0.271186441,0,15.7,0,0.743835895
East Feliciana Parish,Louisiana,138,19755,0.775362319,0.224637681,0,0.7,0,0.743835895
Eastland County,Texas,121,18250,1,0,0,32.2,0,0.891372329
Eaton County,Michigan,200,108545,0.93,0.07,0,55.2,31.1,0.771767308
Eau Claire County,Wisconsin,233,101905,0.91416309,0.08583691,0,42.9,0,0.833592818
Echols County,Georgia,41,4025,0.926829268,0.073170732,,17.3,0,0.967672415
Ector County,Texas,232,153175,0.987068966,0.012931034,0,36.6,0,0.891372329
Eddy County,North Dakota,27,2370,0.962962963,0.037037037,0,41,0,0.933551831
Eddy County,New Mexico,92,56370,1,0,1,130.7,0,0.698534578
Edgar County,Illinois,276,17830,0.963768116,0.036231884,0,66.6,0,0.807663106
Edgecombe County,North Carolina,148,54670,0.912162162,0.087837838,0,31.4,8.2,0.890560355
Edgefield County,South Carolina,124,26390,0.927419355,0.072580645,0,18.9,0,0.812866638
Edmonson County,Kentucky,38,12085,0.894736842,0.105263158,0,4.3,0,0.920222177
Edmunds County,South Dakota,20,4000,0.75,0.25,0,48,0,0.857210259
Edwards County,Illinois,78,6610,0.948717949,0.051282051,0,9.7,0,0.807663106
Edwards County,Kansas,68,2975,0.970588235,0.029411765,0,30.3,30.3,0.883778315
Edwards County,Texas,141,2030,0.992907801,0.007092199,0,,,0.891372329
Effingham County,Illinois,253,34355,0.95256917,0.04743083,0,78.5,23.3,0.807663106
Effingham County,Georgia,73,55850,1,0,0,68.2,22.1,0.967672415
El Dorado County,California,184,183000,0.89673913,0.10326087,0,,,0.58749769
El Paso County,Colorado,660,665170,0.959090909,0.040909091,1,80.7,8.7,0.78095535
El Paso County,Texas,652,833590,0.995398773,0.004601227,1,105.6,51,0.891372329
Elbert County,Colorado,85,24225,0.952941176,0.047058824,0,28.5,0,0.78095535
Elbert County,Georgia,85,19395,0.952941176,0.047058824,0,35.4,0,0.967672415
Elk County,Pennsylvania,120,31110,0.866666667,0.133333333,0,88,0,0.714875343
Elk County,Kansas,156,2635,0.916666667,0.083333333,0,34.1,0,0.883778315
Elkhart County,Indiana,276,201640,0.938405797,0.061594203,0,64.6,25.7,0.92512153
Elko County,Nevada,213,52030,0.981220657,0.018779343,1,314.9,242.8,0.873795386
Elliott County,Kentucky,55,7660,0.854545455,0.145454545,,,,0.920222177
Ellis County,Oklahoma,149,4125,0.966442953,0.033557047,0,30.7,0,0.629165553
Ellis County,Kansas,280,29030,0.978571429,0.021428571,1,31.5,0,0.883778315
Ellis County,Texas,26,160225,1,0,0,96.2,0,0.891372329
Ellsworth County,Kansas,253,6375,0.992094862,0.007905138,0,35.4,0,0.883778315
Elmore County,Alabama,198,80955,0.96969697,0.03030303,0,16.2,0,0.880672042
Elmore County,Idaho,95,26105,0.915789474,0.084210526,0,64.3,0,0.968883613
Emanuel County,Georgia,121,22725,0.983471074,0.016528926,0,22.4,0,0.967672415
Emery County,Utah,126,10570,0.992063492,0.007936508,0,59.8,54.9,0.783681005
Emmet County,Michigan,33,33090,0.878787879,0.121212121,1,6.1,0,0.771767308
Emmet County,Iowa,77,9820,0.779220779,0.220779221,0,36.2,0,0.906330826
Emmons County,North Dakota,69,3425,0.985507246,0.014492754,0,16.7,0,0.933551831
Emporia city,Virginia,21,5565,1,0,0,4,3.8,0.884284057
Erath County,Texas,686,40640,1,0,0,42.5,0,0.891372329
Erie County,Ohio,229,75810,1,0,0,75,27.8,0.834323878
Erie County,Pennsylvania,443,279135,0.880361174,0.119638826,1,153.9,43.8,0.714875343
Erie County,New York,896,922130,0.922991071,0.077008929,1,227.8,63.2,0.746636286
Escambia County,Alabama,196,37875,0.964285714,0.035714286,0,89.6,0,0.880672042
Escambia County,Florida,244,309575,0.893442623,0.106557377,1,108,0,0.882151679
Esmeralda County,Nevada,4,1070,1,0,0,,,0.873795386
Essex County,Virginia,33,11130,0.909090909,0.090909091,0,,,0.884284057
Essex County,Vermont,62,6175,0.983870968,0.016129032,0,27.7,0,0.821290173
Essex County,New York,250,38600,0.908,0.092,0,97.3,97.3,0.746636286
Essex County,New Jersey,499,792585,0.941883768,0.058116232,1,75.9,33.5,0.529653452
Essex County,Massachusetts,392,769360,0.854591837,0.145408163,0,67.7,66.9,0.700716679
Estill County,Kentucky,49,14405,0.918367347,0.081632653,,22.9,0,0.920222177
Etowah County,Alabama,231,103365,0.956709957,0.043290043,0,59.6,0,0.880672042
Eureka County,Nevada,25,1730,0.96,0.04,0,67.5,67.5,0.873795386
Evangeline Parish,Louisiana,165,33765,0.933333333,0.066666667,0,30.2,0,0.743835895
Evans County,Georgia,48,10735,0.9375,0.0625,0,13.2,0,0.967672415
Fairbanks North Star Borough,Alaska,98,100150,0.897959184,0.102040816,1,77.4,36.5,0.769478458
Fairfax city,Virginia,6,23620,1,0,,,,0.884284057
Fairfax County,Virginia,702,1132885,0.981481481,0.018518519,0,29,29,0.884284057
Fairfield County,Ohio,335,150165,0.970149254,0.029850746,0,58.2,0,0.834323878
Fairfield County,Connecticut,840,941620,0.926190476,0.073809524,0,103.3,64.2,0.649393876
Fairfield County,South Carolina,143,23025,0.839160839,0.160839161,0,68.5,4.9,0.812866638
Fall River County,South Dakota,78,6875,0.897435897,0.102564103,0,79.7,0,0.857210259
Fallon County,Montana,37,2915,0.945945946,0.054054054,0,38.3,0,0.880305656
Falls Church city,Virginia,4,13595,0.5,0.5,,,,0.884284057
Falls County,Texas,198,17265,0.98989899,0.01010101,0,36.2,0,0.891372329
Fannin County,Texas,308,33755,0.922077922,0.077922078,0,25.7,0,0.891372329
Fannin County,Georgia,106,24015,0.952830189,0.047169811,0,16.3,0,0.967672415
Faribault County,Minnesota,220,14120,0.922727273,0.077272727,0,79.1,0,0.850650597
Faulk County,South Dakota,44,2355,0.954545455,0.045454545,0,,,0.857210259
Faulkner County,Arkansas,210,120415,0.985714286,0.014285714,0,19.4,0,0.796760502
Fauquier County,Virginia,228,68025,0.964912281,0.035087719,0,48.3,15.1,0.884284057
Fayette County,Ohio,244,28720,0.975409836,0.024590164,0,40.2,0,0.834323878
Fayette County,Alabama,191,16785,0.989528796,0.010471204,0,20,0,0.880672042
Fayette County,Indiana,100,23610,0.87,0.13,0,29.9,24.9,0.92512153
Fayette County,Pennsylvania,400,134230,0.7775,0.2225,0,126.7,38.9,0.714875343
Fayette County,Illinois,361,22025,0.916897507,0.083102493,0,52,6.9,0.807663106
Fayette County,Iowa,358,20390,0.818435754,0.181564246,0,8.3,0,0.906330826
Fayette County,Tennessee,335,39070,0.913432836,0.086567164,0,38.6,0,0.945988112
Fayette County,West Virginia,213,45190,0.812206573,0.187793427,0,165.5,67.9,0.694866631
Fayette County,Texas,310,24910,0.95483871,0.04516129,0,91.2,22.8,0.891372329
Fayette County,Georgia,74,109495,0.972972973,0.027027027,0,15.2,0,0.967672415
Fayette County,Kentucky,198,311530,0.949494949,0.050505051,1,49.7,0,0.920222177
Fentress County,Tennessee,56,17935,0.857142857,0.142857143,0,,,0.945988112
Fergus County,Montana,156,11430,0.897435897,0.102564103,0,78.9,25.2,0.880305656
Ferry County,Washington,50,7640,0.92,0.08,0,54.1,0,0.710608062
Fillmore County,Nebraska,216,5675,0.888888889,0.111111111,0,24.7,23.8,0.899117407
Fillmore County,Minnesota,338,20875,0.931952663,0.068047337,0,,,0.850650597
Finney County,Kansas,78,36985,1,0,1,61.5,25.7,0.883778315
Fisher County,Texas,370,3845,0.978378378,0.021621622,0,17.6,0,0.891372329
Flagler County,Florida,97,102915,0.989690722,0.010309278,0,23.7,0,0.882151679
Flathead County,Montana,201,94695,0.900497512,0.099502488,0,112.3,96.4,0.880305656
Fleming County,Kentucky,118,14545,0.923728814,0.076271186,0,9.5,0,0.920222177
Florence County,Wisconsin,20,4475,0.85,0.15,,,,0.833592818
Florence County,South Carolina,278,138575,0.992805755,0.007194245,1,57.5,37.7,0.812866638
Floyd County,Virginia,117,15585,0.982905983,0.017094017,0,,,0.884284057
Floyd County,Indiana,143,76290,0.937062937,0.062937063,0,11.3,0,0.92512153
Floyd County,Iowa,208,16005,0.865384615,0.134615385,0,65.2,0,0.906330826
Floyd County,Texas,150,6090,0.946666667,0.053333333,0,,,0.891372329
Floyd County,Georgia,202,96200,0.940594059,0.059405941,0,54.9,0,0.967672415
Floyd County,Kentucky,156,38145,0.916666667,0.083333333,0,63.9,0,0.920222177
Fluvanna County,Virginia,54,26045,0.962962963,0.037037037,,24.3,0,0.884284057
Foard County,Texas,11,1320,1,0,0,,,0.891372329
Fond du Lac County,Wisconsin,244,101970,0.909836066,0.090163934,0,60.8,0,0.833592818
Ford County,Illinois,302,13760,0.976821192,0.023178808,0,60.1,6.4,0.807663106
Ford County,Kansas,220,34490,0.986363636,0.013636364,1,74.6,38.3,0.883778315
Forest County,Pennsylvania,65,7495,0.8,0.2,0,,,0.714875343
Forest County,Wisconsin,50,9110,0.82,0.18,0,37.3,0,0.833592818
Forrest County,Mississippi,289,76275,0.955017301,0.044982699,0,65.6,13.3,0.731516457
Forsyth County,North Carolina,412,364690,0.832524272,0.167475728,0,73.1,0,0.890560355
Forsyth County,Georgia,92,203840,0.97826087,0.02173913,0,,,0.967672415
Fort Bend County,Texas,60,683755,0.9,0.1,0,109.7,33.8,0.891372329
Foster County,North Dakota,19,3345,0.947368421,0.052631579,0,67,0,0.933551831
Fountain County,Indiana,196,16740,0.882653061,0.117346939,0,9,0,0.92512153
Franklin city,Virginia,,8415,,,0,2.3,0,0.884284057
Franklin County,Ohio,899,1232120,0.975528365,0.024471635,2,174.8,0,0.834323878
Franklin County,Virginia,173,56230,0.953757225,0.046242775,0,31,0,0.884284057
Franklin County,Alabama,194,31575,0.948453608,0.051546392,0,22.9,0,0.880672042
Franklin County,Indiana,155,22885,0.870967742,0.129032258,0,31.7,9.7,0.92512153
Franklin County,Vermont,139,48625,0.978417266,0.021582734,0,32.2,10.7,0.821290173
Franklin County,Maine,129,30270,0.798449612,0.201550388,0,16.4,0,0.776837947
Franklin County,Pennsylvania,284,152705,0.89084507,0.10915493,0,58.2,0,0.714875343
Franklin County,Idaho,23,13015,0.869565217,0.130434783,0,26.6,0,0.968883613
Franklin County,Illinois,304,39505,0.983552632,0.016447368,0,103,0,0.807663106
Franklin County,Mississippi,160,7820,0.88125,0.11875,,34.8,0,0.731516457
Franklin County,Kansas,328,25665,0.969512195,0.030487805,0,32,0,0.883778315
Franklin County,New York,188,51005,0.845744681,0.154255319,1,10.6,0.9,0.746636286
Franklin County,North Carolina,117,62990,0.854700855,0.145299145,0,12.8,0,0.890560355
Franklin County,Nebraska,104,3075,0.961538462,0.038461538,0,12.1,0,0.899117407
Franklin County,Iowa,233,10395,0.854077253,0.145922747,0,26.5,0,0.906330826
Franklin County,Washington,136,87810,0.955882353,0.044117647,1,65.5,43.8,0.710608062
Franklin County,Tennessee,154,41350,0.987012987,0.012987013,0,32.5,0,0.945988112
Franklin County,Texas,650,10570,0.978461538,0.021538462,0,10.8,0,0.891372329
Franklin County,Missouri,333,102065,0.924924925,0.075075075,0,102.1,39.5,0.753229107
Franklin County,Florida,44,11705,0.590909091,0.409090909,0,28.3,0,0.882151679
Franklin County,Georgia,117,22190,0.982905983,0.017094017,0,14.2,0,0.967672415
Franklin County,Kentucky,120,49980,0.841666667,0.158333333,0,15.6,0,0.920222177
Franklin County,Massachusetts,297,70915,0.872053872,0.127946128,0,100.4,25.8,0.700716679
Franklin County,Arkansas,140,17800,0.914285714,0.085714286,0,24.7,0,0.796760502
Franklin Parish,Louisiana,143,20465,0.944055944,0.055944056,0,,,0.743835895
Frederick County,Virginia,170,82320,0.964705882,0.035294118,0,43.8,0,0.884284057
Frederick County,Maryland,477,243465,0.955974843,0.044025157,0,78.1,34.4,0.880315818
Fredericksburg city,Virginia,17,27855,0.941176471,0.058823529,,2.2,2.2,0.884284057
Freeborn County,Minnesota,142,30750,0.978873239,0.021126761,0,71.6,0,0.850650597
Freestone County,Texas,75,19585,0.986666667,0.013333333,0,63.4,0,0.891372329
Fremont County,Wyoming,174,40685,0.925287356,0.074712644,1,56.4,0,0.803817764
Fremont County,Colorado,137,46835,0.934306569,0.065693431,0,30,0,0.78095535
Fremont County,Idaho,137,12895,0.875912409,0.124087591,0,28.5,0,0.968883613
Fremont County,Iowa,172,7020,0.802325581,0.197674419,0,25.1,0,0.906330826
Fresno County,California,897,963160,0.914158305,0.085841695,1,183.5,33.6,0.58749769
Frio County,Texas,168,18540,0.988095238,0.011904762,0,34.7,0,0.891372329
Frontier County,Nebraska,97,2600,0.865979381,0.134020619,0,32,0,0.899117407
Fulton County,Ohio,206,42465,0.975728155,0.024271845,0,46.2,24.4,0.834323878
Fulton County,Indiana,83,20410,0.939759036,0.060240964,0,7.2,0,0.92512153
Fulton County,Pennsylvania,151,14655,0.841059603,0.158940397,0,,,0.714875343
Fulton County,Illinois,211,36045,0.890995261,0.109004739,0,105.5,4.9,0.807663106
Fulton County,New York,96,54295,0.875,0.125,0,,,0.746636286
Fulton County,Georgia,753,996755,0.984063745,0.015936255,0,110.9,11.6,0.967672415
Fulton County,Kentucky,95,6325,0.915789474,0.084210526,0,23,7.4,0.920222177
Fulton County,Arkansas,102,12185,0.950980392,0.049019608,0,13.9,0,0.796760502
Furnas County,Nebraska,177,4850,0.93220339,0.06779661,0,61.9,30.5,0.899117407
Gadsden County,Florida,123,46155,0.894308943,0.105691057,0,69.6,0,0.882151679
Gage County,Nebraska,389,21780,0.935732648,0.064267352,0,33.3,0,0.899117407
Gaines County,Texas,146,19485,0.993150685,0.006849315,0,3.2,0,0.891372329
Galax city,Virginia,5,6860,1,0,,,,0.884284057
Gallatin County,Montana,211,97960,0.981042654,0.018957346,2,79.7,0,0.880305656
Gallatin County,Illinois,78,5325,0.923076923,0.076923077,,,,0.807663106
Gallatin County,Kentucky,54,8545,0.962962963,0.037037037,0,13.6,0,0.920222177
Gallia County,Ohio,242,30375,0.921487603,0.078512397,0,9.5,0,0.834323878
Galveston County,Texas,,314485,,,0,75.9,0,0.891372329
Garden County,Nebraska,31,1930,0.903225806,0.096774194,0,32.9,0,0.899117407
Garfield County,Utah,92,5020,0.97826087,0.02173913,0,,,0.783681005
Garfield County,Colorado,167,57495,0.97005988,0.02994012,0,71.1,65.1,0.78095535
Garfield County,Montana,29,1060,0.965517241,0.034482759,0,,,0.880305656
Garfield County,Oklahoma,528,62480,0.839015152,0.160984848,0,101.4,15.7,0.629165553
Garfield County,Nebraska,25,1970,0.88,0.12,0,,,0.899117407
Garfield County,Washington,54,2230,0.907407407,0.092592593,0,,,0.710608062
Garland County,Arkansas,300,97120,0.98,0.02,1,23.3,0,0.796760502
Garrard County,Kentucky,67,17050,0.925373134,0.074626866,0,,,0.920222177
Garrett County,Maryland,134,29675,0.910447761,0.089552239,0,49.9,0,0.880315818
Garvin County,Oklahoma,363,27570,0.909090909,0.090909091,0,17.6,17.6,0.629165553
Garza County,Texas,318,6615,0.981132075,0.018867925,0,40.5,0,0.891372329
Gasconade County,Missouri,137,14875,0.941605839,0.058394161,0,15.6,15.6,0.753229107
Gaston County,North Carolina,228,211755,0.925438596,0.074561404,0,75.7,21.5,0.890560355
Gates County,North Carolina,41,11615,0.926829268,0.073170732,0,,,0.890560355
Geary County,Kansas,144,36820,0.944444444,0.055555556,0,15.7,0,0.883778315
Geauga County,Ohio,143,94020,0.944055944,0.055944056,0,,,0.834323878
Gem County,Idaho,57,16855,0.947368421,0.052631579,0,30.1,0,0.968883613
Genesee County,Michigan,372,413090,0.865591398,0.134408602,1,90.1,29.7,0.771767308
Genesee County,New York,166,59055,0.825301205,0.174698795,0,65.1,29.9,0.746636286
Geneva County,Alabama,205,26765,0.96097561,0.03902439,0,,,0.880672042
Gentry County,Missouri,241,6745,0.908713693,0.091286307,0,,,0.753229107
George County,Mississippi,115,23315,0.947826087,0.052173913,0,38.2,0,0.731516457
Georgetown County,South Carolina,114,60805,0.903508772,0.096491228,0,43.4,0,0.812866638
Gibson County,Indiana,359,33685,0.963788301,0.036211699,0,90.3,0,0.92512153
Gibson County,Tennessee,396,49510,0.906565657,0.093434343,0,74.3,0,0.945988112
Gila County,Arizona,260,53180,0.965384615,0.034615385,0,41.3,0,0.813937707
Gilchrist County,Florida,10,17035,1,0,0,,,0.882151679
Giles County,Virginia,96,16870,0.96875,0.03125,0,54,0,0.884284057
Giles County,Tennessee,321,29035,0.975077882,0.024922118,0,37.9,0,0.945988112
Gillespie County,Texas,51,25730,1,0,0,,,0.891372329
Gilliam County,Oregon,35,1915,0.971428571,0.028571429,0,48.3,0,0.897757095
Gilmer County,West Virginia,108,8495,0.805555556,0.194444444,,,,0.694866631
Gilmer County,Georgia,102,28955,0.941176471,0.058823529,0,21.6,0,0.967672415
Gilpin County,Colorado,18,5710,1,0,0,16.8,16.8,0.78095535
Glacier County,Montana,74,13695,0.945945946,0.054054054,0,66.7,66.7,0.880305656
Glades County,Florida,59,13420,1,0,0,32.3,0,0.882151679
Gladwin County,Michigan,61,25365,0.967213115,0.032786885,0,,,0.771767308
Glascock County,Georgia,22,3055,0.954545455,0.045454545,,8.2,0,0.967672415
Glasscock County,Texas,128,1255,0.9921875,0.0078125,0,,,0.891372329
Glenn County,California,241,27975,0.908713693,0.091286307,0,39.3,0,0.58749769
Gloucester County,Virginia,21,37020,0.952380952,0.047619048,0,,,0.884284057
Gloucester County,New Jersey,242,291285,0.950413223,0.049586777,0,65.9,0,0.529653452
Glynn County,Georgia,83,82625,0.987951807,0.012048193,1,57.8,0,0.967672415
Gogebic County,Michigan,102,15650,0.833333333,0.166666667,1,24,0,0.771767308
Golden Valley County,Montana,17,730,0.941176471,0.058823529,0,37.5,0,0.880305656
Golden Valley County,North Dakota,35,1895,0.885714286,0.114285714,0,22.9,0,0.933551831
Goliad County,Texas,28,7465,1,0,0,9,0,0.891372329
Gonzales County,Texas,125,20370,0.96,0.04,0,35,22.4,0.891372329
Goochland County,Virginia,87,21980,1,0,0,43.4,0,0.884284057
Goodhue County,Minnesota,322,46450,0.968944099,0.031055901,0,29.9,29,0.850650597
Gooding County,Idaho,78,15155,0.91025641,0.08974359,0,30.6,0,0.968883613
Gordon County,Georgia,128,56080,0.9765625,0.0234375,0,44,0,0.967672415
Goshen County,Wyoming,105,13545,0.980952381,0.019047619,0,132.7,0,0.803817764
Gosper County,Nebraska,63,1975,0.920634921,0.079365079,0,20.7,0,0.899117407
Gove County,Kansas,109,2680,1,0,0,36.8,0,0.883778315
Grady County,Oklahoma,450,53955,0.915555556,0.084444444,0,94.9,0,0.629165553
Grady County,Georgia,104,25145,0.990384615,0.009615385,0,18.1,0,0.967672415
Grafton County,New Hampshire,530,89165,0.926415094,0.073584906,1,27.1,6.1,0.76406884
Graham County,Kansas,143,2575,0.916083916,0.083916084,0,,,0.883778315
Graham County,North Carolina,90,8650,0.977777778,0.022222222,,,,0.890560355
Graham County,Arizona,168,37530,0.952380952,0.047619048,0,90.2,0,0.813937707
Grainger County,Tennessee,87,22815,0.908045977,0.091954023,0,15.5,0,0.945988112
Grand County,Utah,121,9430,1,0,1,103.7,65.9,0.783681005
Grand County,Colorado,82,14490,0.914634146,0.085365854,0,65.5,65.5,0.78095535
Grand Forks County,North Dakota,354,69795,0.875706215,0.124293785,1,114.2,55.6,0.933551831
Grand Isle County,Vermont,8,6945,0.875,0.125,0,3.4,0,0.821290173
Grand Traverse County,Michigan,32,90715,0.84375,0.15625,1,53.3,0,0.771767308
Granite County,Montana,74,3210,0.824324324,0.175675676,0,28.7,0,0.880305656
Grant County,Oregon,141,7225,0.929078014,0.070921986,0,,,0.897757095
Grant County,Indiana,276,68270,0.985507246,0.014492754,0,65.9,0,0.92512153
Grant County,Oklahoma,517,4495,0.769825919,0.230174081,0,30.8,0,0.629165553
Grant County,Kansas,16,7750,1,0,0,28.3,0,0.883778315
Grant County,Nebraska,,645,,,0,30.6,0,0.899117407
Grant County,Minnesota,33,5945,0.878787879,0.121212121,0,46.9,0,0.850650597
Grant County,Washington,307,92530,0.996742671,0.003257329,0,125.1,58.1,0.710608062
Grant County,North Dakota,62,2370,0.903225806,0.096774194,0,,,0.933551831
Grant County,New Mexico,99,28880,0.909090909,0.090909091,1,53.7,20.1,0.698534578
Grant County,West Virginia,96,11770,0.90625,0.09375,0,24.8,0,0.694866631
Grant County,Wisconsin,383,51725,0.947780679,0.052219321,0,71.5,0,0.833592818
Grant County,South Dakota,203,7195,0.852216749,0.147783251,0,68.3,0,0.857210259
Grant County,Kentucky,79,24705,0.860759494,0.139240506,0,29.8,0,0.920222177
Grant County,Arkansas,119,18045,1,0,0,,,0.796760502
Grant Parish,Louisiana,218,22370,0.839449541,0.160550459,0,85.9,0,0.743835895
Granville County,North Carolina,149,58340,0.879194631,0.120805369,0,23.1,0,0.890560355
Gratiot County,Michigan,165,41675,0.939393939,0.060606061,0,57.3,0,0.771767308
Graves County,Kentucky,381,37380,0.934383202,0.065616798,0,37.4,0,0.920222177
Gray County,Kansas,68,6035,1,0,0,50.7,25.4,0.883778315
Gray County,Texas,286,23030,0.975524476,0.024475524,0,24.8,0,0.891372329
Grays Harbor County,Washington,339,71235,0.943952802,0.056047198,0,59.2,0,0.710608062
Grayson County,Virginia,147,15180,0.965986395,0.034013605,0,,,0.884284057
Grayson County,Texas,81,124230,0.975308642,0.024691358,0,125.6,0,0.891372329
Grayson County,Kentucky,115,26090,0.965217391,0.034782609,0,33.6,0,0.920222177
Greeley County,Kansas,33,1235,1,0,0,25.9,0,0.883778315
